instance1,instance2,instance3
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
70,80,90
